"","Crop Code","Crop Name","Crop Type Name","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"141","0047","BEANS","ANASAZI",1311.4,2837.9,1733.5,1200.9,2119.97,1996.75,4209.75,310.12,29.15,2045.3226
"142","0047","BEANS","BABY LIMA",48378.67,37876.07,45276.81,57097.84,50089.88,59418.98,46945.152,40505.96,38504.066,32988.632
"143","0047","BEANS","BLACK TURTLE",193081.22,287765.9,197796.69,225569.97,160184.29,244504.31,351623.808,252883.28,292087.55,267431.592
"144","0047","BEANS","BUTTER",4558.59,5259.57,5091.79,5152.09,3980,4551.11,5705.732,4468.216,3421.5337,3566.28
"145","0047","BEANS","CANARIO,  YELLOW",3445.97,2961.85,3436.61,3572.1,7547.07,2258.94,2057.08,7238.39,9195.19,3423.95
"146","0047","BEANS","CASTOR",110.9,131.9,45.1,127.96,57.33,30.51,70.55,24.3,1.5,23
"147","0047","BEANS","CHINESE STRING",8.31,15.04,11.85,6.06,NA,NA,3.81,87.94,0.02,NA
"148","0047","BEANS","CRANBERRY",8499.96,7263.06,10092.54,11164.62,12944.05,21747.88,24997.002,9262.5148,17232.6123,19612.25
"149","0047","BEANS","DARK RED KIDNEY",52923.41,49010.85,79353.71,78747.2,81340.03,99272.93,124448.57,95766.48,93216.9273,121760.546
"150","0047","BEANS","FAVA/FABA",653,1177.04,975.55,657.31,1774.65,3164.75,1211.7,3481.0736,5153.798,4035.018
"151","0047","BEANS","FLAT SMALL WHITE",95,146.7,251.68,159.76,242.83,64.85,1827.84,83.3985,2050.6002,323.74
"152","0047","BEANS","GARBANZO, LARGE KABULI (CHICKP",85173.71,123823.6,NA,NA,NA,NA,NA,NA,NA,NA
"153","0047","BEANS","GARBANZO, LARGE KABULI (CHICKPEAS)",NA,NA,111901.23,154885.57,178254.85,160786.07,144030.68,230572.784,495665.71,686469.45
"154","0047","BEANS","GARBANZO, SMALL DESI (CHICKPEA",17218.75,21264.12,NA,NA,NA,NA,NA,NA,NA,NA
"155","0047","BEANS","GARBANZO, SMALL DESI (CHICKPEAS)",NA,NA,15027.69,13536.43,14097.61,14841.45,12120.12,9828.24,17354.53,15148.24
"156","0047","BEANS","GARBANZO, SMALL KABULI (CHICKPEAS)",NA,NA,26625.49,57620.34,35921.9,50628.64,61003.96,107943.06,178531.81,214698.88
"157","0047","BEANS","GREAT NORTHERN",54781.58,79297.38,119032.54,107508.49,146644.37,208305.42,92363.01,84470.652,122231.09,92153.42
"158","0047","BEANS","GREEN",247050.79,239865.11,330709.65,319776.03,260941.27,274566.31,304005.9681,307854.4254,263216.2574,249414.0031
"159","0047","BEANS","GREEN BABY FRENCH",100.46,39.51,1.29,32.9,0.86,0.2,0.48,0.16,0.32,168.26
"160","0047","BEANS","JACOBS CATTLE",115.78,122.8,103.96,187.34,25.79,62.48,183.38,242.006,101.75,31.35
"161","0047","BEANS","KENTUCKY BLUE",37.6,7.19,62.15,19.24,104.08,0.74,112.33,52.1411,39.18,211.54
"162","0047","BEANS","KINTOKI",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"163","0047","BEANS","LARGE LIMA",13561.1,13835.37,13489.19,10254.88,8773.94,11431.08,12169.26,17867.455,13434.5731,13998.9416
"164","0047","BEANS","LIGHT RED KIDNEY",56047.84,50633,60217.26,69483.29,71717.68,96355.2,122640.48,45901.4996,79901.07,77113.676
"165","0047","BEANS","LONG",20.48,31.27,136.86,89.78,87.94,52.37,69.449,23.02,54.439,34.125
"166","0047","BEANS","LUPINE",175,39.7,56.6,87.6,14.35,0.9,29.2,191.92,798.5,434.32
"167","0047","BEANS","MARROW",3,5,NA,3.5,11.6,88.52,91.42,4,NA,NA
"168","0047","BEANS","MAYOCOBA",1770.67,1124.06,3296.14,1755.6,5038.68,1516.14,2374.64,6924.06,7463.44,7148.36
"169","0047","BEANS","MUNG",3873.67,3555.65,1034.15,2216.66,2032.94,5765.65,7866,9796.8,12115.73,10249.94
"170","0047","BEANS","MYOTHE",461.3,277.8,17.4,21.8,28.6,NA,82.54,NA,417.98,15.96
"171","0047","BEANS","OCTOBER",41.96,102.76,7.07,11.96,4,2.4,0.5558,5.33,0.042,4.864
"172","0047","BEANS","PAPDAI VALOR",NA,NA,NA,NA,0.1,NA,0.05,NA,16,NA
"173","0047","BEANS","PEA",195771.4,273642.27,203957.74,270802.82,178454.95,250155.59,244423.2,197843.77,214097.09,184525.7619
"174","0047","BEANS","PINK",28326.85,31955.94,29277.97,41167.42,37148.89,33182.03,26324.18,28621.202,20872.624,26909.77
"175","0047","BEANS","PINTO",754323.21,868862.69,520996.77,957700.42,699911.39,797054.53,749204,815633.184,961618.8573,643750.687
"176","0047","BEANS","POLE",208.08,345.24,142.11,382.73,173.28,141.87,119.884,116.406,190.8446,47.0695
"177","0047","BEANS","POLE COLOMBUS",1102.91,451.3,NA,NA,NA,NA,NA,0.02,0.02,NA
"178","0047","BEANS","ROMA",639.05,763.63,767.54,454.38,173.22,1011.93,597.2666,346.5605,285.4878,652.8778
"179","0047","BEANS","SHELLI",212.95,53.04,120.29,55.11,52.63,47.9,42.53,50.3985,50.63,43.1152
"180","0047","BEANS","SMALL RED",35298.35,23168.42,49954.12,57658.58,38327.6,46890.35,76514.91,47715.77,27955.668,38923.99
"181","0047","BEANS","SMALL WHITE",8913.7,10354.18,12369.92,12743.48,10252.25,11524.02,16355.89,15336.28,13133.67,11752.62
"182","0047","BEANS","SNAP WAX",6709.99,5878.86,11942.75,8491.8,10036.36,11522.25,12727.6466,8763.3893,11537.4008,6620.2716
"183","0047","BEANS","SOLDIER",155.62,148.98,187.67,238.89,169.8,560.25,216.72,193.09,4.78,32.4
"184","0047","BEANS","SULFUR",3.8,1,2.35,0.5,1,1,NA,NA,NA,NA
"185","0047","BEANS","TEBO",1152.6,985.9,179.15,707.8,887.65,1048.69,531.48,599.53,165.59,150.31
"186","0047","BEANS","TIGER EYE KIDNEY",3.6,0.04,43.32,18.6,60,0.5,NA,49.657,NA,NA
"187","0047","BEANS","VELVET",NA,92.79,384.3,71.7,5.5,141.59,0.016,0.05,0.02,0.02
"188","0047","BEANS","WHITE ADZUKI",107.6,242.6,14.5,200.4,3,8.79,NA,156.05,158.8,211.88
"189","0047","BEANS","WHITE HALF RUNNER",90.81,176.04,276.51,160.26,325.5,125.71,157.4916,102.4724,121.6734,180.8471
"190","0047","BEANS","WHITE KIDNEY",5652.28,5465.03,7250.24,11162.35,10228.28,12081.67,13881.05,7937.55,10450.11,8804.06
"191","0047","BEANS","WING",0.83,NA,NA,1,1,NA,0.08,NA,NA,NA
"192","0047","BEANS","YARDLONG",45.31,19.28,1.6,21.49,71.99,1.71,53.12,1.73,40.938,NA
"193","0047","BEANS","YELLOW EYE",4911.92,5221.45,3435.35,3357.22,3572.61,933.51,1917.862,5489.8069,10584.631,5436.605
"194","0048","TANGERINES","COM",NA,NA,NA,200.26,248.5,732.29,1307.05,1089.17,NA,NA
"195","0048","TANGERINES","COMMON",NA,NA,NA,NA,NA,NA,NA,NA,1012.672,1635.64
"196","0048","TANGERINES","MURCOTTS",89.83,4.31,624.86,596.46,629.38,768.4,1088.2476,2066.0876,2043.42,3598.04
"197","0048","TANGERINES","SAT",NA,NA,NA,NA,NA,NA,2.8,42.6,NA,NA
"198","0048","TANGERINES","SATSUMA",NA,NA,NA,NA,NA,NA,NA,NA,122.48,287.029
"199","0048","TANGERINES",NA,1264.51,1422.47,988.76,NA,NA,NA,NA,NA,NA,NA
"200","0050","SORGHUM, FORAGE","ALUM",19460.4,18360.02,16506.31,10145.61,13180.65,10563.12,4324.75,3080.78,3952.26,2378.34
"201","0050","SORGHUM, FORAGE","CANE",373851.11,355944.71,405200.99,459432.77,603812,540957.28,482284.5407,448039.12,401232.175,635092.6378
"202","0050","SORGHUM, FORAGE","SUDEX",769575.16,620651.49,521288.31,689325.8,849869.45,759018.33,674456.49,640880.82,714414.965,930368.638
"203","0050","SORGHUM, FORAGE","SWEET",252326.95,212126.16,215950.74,265882.18,368168.59,274771.51,236165.3,250646.49,279592.535,300653.2748
"204","0051","SORGHUM","GRAIN",5931818.78,4827107.01,5454543.63,6277882.07,8411058.86,7432683.03,9421370.817,6666627.59,5403406.871,5311303.8862
"205","0051","SORGHUM","HYBIRD INTERPLANTING FORAGE",2113.38,2398.45,2849.55,19210.76,13034.43,28842.55,6466.31,6647.51,5459.23,8738.49
"206","0051","SORGHUM","HYBRID",56368.15,41591.14,77375.39,112698.23,94035.49,74301.12,67211.82,37808.15,34853.1,28828.28
"207","0051","SORGHUM","HYBRID STANDARDPLANT FG",7048.49,6519.97,28062.63,32108.74,52582.09,34312.57,20150.91,23396.03,40015.78,36876.32
"208","0051","SORGHUM","HYBRID STANDARDPLANT GR",1952.9,1486,38779.83,65878.44,58430.89,37693.03,23224.32,17070.05,20262.23,34981.68
"209","0051","SORGHUM","HYBRID STANDARDPLANT SU",2507.25,1036.29,3254,7618.67,5120.05,3552.49,1916.04,1401.17,5101.51,1137.11
"210","0052","SORGHUM, DUAL PURPOSE","NULL",NA,NA,NA,442765.55,NA,NA,NA,NA,NA,NA
"211","0052","SORGHUM, DUAL PURPOSE",NA,323174.61,266548.38,334444.69,NA,481245.63,456175.01,391006.94,316830.3,297904.54,403135.254
"212","0053","GRAPES","ABR",NA,NA,NA,NA,12.28,59.19,83.19,96.11,NA,NA
"213","0053","GRAPES","ABZ",NA,NA,NA,NA,NA,0.19,31.77,31.77,NA,NA
