"","Intended Use","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"137","CP4 Permanent Wild",NA,NA,NA,118600.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","CP40 FWP Aquacultu",NA,NA,NA,16402.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","CP41 FWP Flooded P",NA,NA,NA,8491.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","CP42 Pollinator Ha",NA,NA,NA,17190.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","CP4A Permanent Wil",NA,NA,NA,1454.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","CP4B Permanent Wil",NA,NA,NA,3416.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","CP4D  Permanent Wi",NA,NA,NA,2179926.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","CP5 Field Windbrea",NA,NA,NA,5003.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","CP5A Field Windbre",NA,NA,NA,95845.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","CP6 Diversions",NA,NA,NA,180.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","CP7 Erosion Contro",NA,NA,NA,87.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","CP8 Grass Waterway",NA,NA,NA,7322.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","CP8A Grass Waterwa",NA,NA,NA,135850.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","CP9 Shallow Water",NA,NA,NA,36830.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","DE",2243641.76,2806993.89,2312004.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Dry Edible",NA,NA,NA,2979137.88,2778870.21,3178618.95,3699710.365,4255684.261,4745273.7414,4003797.2076,3620578.6992,4002865.6744,3570855.431
"153","ED",2.85,27.22,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Edible",NA,NA,NA,12.75,35.92,23.58,23.87,36.35,30.208,33.695,46.614,86.67,40.6284
"155","FG",41634636.4,40116775.46,44851460.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","FH",15984986.01,15293297.98,13382309.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Fiber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8236.1118,5983.8537
"158","Forage",NA,NA,NA,45680022.71,45228925.74,43824339.81,44777834.6823,43443534.3322,43302968.583,45068682.7662,42406565.2285,43959856.8366,42042397.8249
"159","Fresh",NA,NA,NA,3395968.92,3168031.45,3307271.19,3399760.4627,3412148.8117,3339417.2964,3535854.3756,3436177.0691,3633494.8076,3748903.7614
"160","GM",84082.04,111751.12,190114.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","GP",11669.68,10111.23,26315.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","GR",219839198.19,218305265.3,248169226.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Grain",NA,NA,NA,249285030.08,258526588.44,253685900.6,261324855.9349,258154531.5768,252116309.556,251445724.9345,260876082.8646,261015873.2123,259117496.7412
"164","Grain/Graze",NA,NA,NA,4797144.26,5357495.86,5281573.94,6659547.53,6093791.3249,5764157.874,5526272.828,NA,NA,NA
"165","Grazing",NA,NA,NA,303415036.29,315195200.77,353201307.86,380341088.7453,387636974.6601,404310330.3938,405808984.3919,364365797.5711,343571853.3826,315402572.2377
"166","Green Manure",NA,NA,NA,202322.04,143727.72,111783.89,221959.798,108125.7305,175909.8685,128287.6719,123523.622,95657.5855,77276.3405
"167","Green Peanuts",NA,NA,NA,24058.89,14602.92,14266.11,23322.71,24313.52,23664.8568,19917.7,26726.28,25280.27,30755.71
